426,motion-1,517.9949340820312,83.84896087646484
426,t-table,424.5747375488281,420.1548156738281
426,motion-2,321.7696533203125,140.25009155273438
426,motion-3,135.19895935058594,195.58944702148438
1190,motion-1,506.9571838378906,83.47677612304688
1190,t-table,422.146728515625,420.1199951171875
1190,motion-2,320.24072265625,140.07899475097656
1190,motion-3,129.299560546875,195.42471313476562
84,motion-1,504.50830078125,83.50994110107422
84,t-table,422.428466796875,420.4857177734375
84,motion-2,318.2730712890625,140.421142578125
84,motion-3,132.50286865234375,195.71388244628906
347,motion-1,507.1846923828125,83.65396118164062
347,t-table,424.00299072265625,420.2655029296875
347,motion-2,320.87176513671875,140.4718475341797
347,motion-3,133.86834716796875,195.58248901367188
995,motion-1,505.83245849609375,83.26535034179688
995,t-table,422.08026123046875,420.0989990234375
995,motion-2,320.25140380859375,140.31979370117188
995,motion-3,130.13217163085938,195.5340576171875
1116,motion-1,506.017822265625,83.34408569335938
1116,t-table,423.8455810546875,419.9700622558594
1116,motion-2,319.33221435546875,140.26583862304688
1116,motion-3,135.21974182128906,195.53607177734375
238,motion-1,508.5198974609375,83.56759643554688
238,t-table,424.39910888671875,420.1575622558594
238,motion-2,319.95135498046875,140.32728576660156
238,motion-3,134.80726623535156,195.58392333984375
866,motion-1,506.08746337890625,83.364013671875
866,t-table,424.07037353515625,420.0248718261719
866,motion-2,306.2608642578125,140.88287353515625
866,motion-3,134.94070434570312,195.42880249023438
390,motion-1,503.09124755859375,83.40023803710938
390,t-table,422.66339111328125,420.2386779785156
390,motion-2,317.847412109375,140.28515625
390,motion-3,132.6794891357422,195.56106567382812
896,motion-1,506.08453369140625,83.22775268554688
896,t-table,422.5859069824219,420.02947998046875
896,motion-2,321.1188049316406,140.31153869628906
896,motion-3,132.02589416503906,195.49261474609375
510,motion-1,473.3885498046875,85.70967102050781
510,t-table,423.0694274902344,419.806396484375
510,motion-2,318.83660888671875,140.32778930664062
510,motion-3,132.85446166992188,195.46096801757812
1186,motion-1,505.90032958984375,83.23004150390625
1186,t-table,423.7693176269531,420.00201416015625
1186,motion-2,319.0975646972656,140.13470458984375
1186,motion-3,135.7991180419922,195.478759765625
1213,motion-1,505.981689453125,83.2081298828125
1213,t-table,423.0065002441406,420.100341796875
1213,motion-2,319.40521240234375,140.02781677246094
1213,motion-3,131.8125,195.49606323242188
1286,motion-1,505.9317626953125,83.31370544433594
1286,t-table,423.86468505859375,420.0670166015625
1286,motion-2,319.0792236328125,140.16903686523438
1286,motion-3,139.8946075439453,195.768310546875
654,motion-1,509.9324951171875,83.58345031738281
654,t-table,423.85211181640625,420.02325439453125
654,motion-2,320.76806640625,140.37376403808594
654,motion-3,134.07778930664062,195.55108642578125
882,motion-1,506.2501220703125,83.40250396728516
882,t-table,423.8521728515625,420.0467834472656
882,motion-2,316.8478088378906,140.462646484375
882,motion-3,134.74497985839844,195.44174194335938
607,motion-1,513.943115234375,83.45487976074219
607,t-table,422.2254638671875,420.2524108886719
607,motion-2,315.01568603515625,140.20974731445312
607,motion-3,132.03741455078125,195.4720001220703
1124,motion-1,505.69677734375,83.2682113647461
1124,t-table,424.4432373046875,420.02447509765625
1124,motion-2,318.33563232421875,140.06312561035156
1124,motion-3,137.46865844726562,195.40066528320312
1275,motion-1,506.15313720703125,83.24027252197266
1275,t-table,422.7982177734375,420.0899658203125
1275,motion-2,319.62908935546875,140.3924560546875
1275,motion-3,128.85671997070312,195.67030334472656
446,motion-1,525.9100952148438,84.2176513671875
446,t-table,424.64776611328125,420.0987854003906
446,motion-2,321.739013671875,140.32542419433594
446,motion-3,135.0683135986328,195.6112060546875
351,motion-1,506.4815979003906,83.57666015625
351,t-table,423.2235107421875,420.27215576171875
351,motion-2,318.520751953125,140.30076599121094
351,motion-3,133.765625,195.54803466796875
1328,motion-1,505.664306640625,83.26567840576172
1328,t-table,423.0727844238281,420.20703125
1328,motion-2,319.151123046875,140.14599609375
1328,motion-3,133.1288299560547,195.56289672851562
800,motion-1,505.86822509765625,83.37277221679688
800,t-table,424.19110107421875,419.977294921875
800,motion-2,313.8482666015625,140.92880249023438
800,motion-3,134.6627197265625,195.40667724609375
162,motion-1,504.5616149902344,83.5229721069336
162,t-table,422.3134765625,420.2464599609375
162,motion-2,318.20562744140625,140.347412109375
162,motion-3,132.562255859375,195.70252990722656
121,motion-1,506.1199035644531,83.38372802734375
121,t-table,423.59429931640625,420.41583251953125
121,motion-2,319.56585693359375,140.42776489257812
121,motion-3,134.1327667236328,195.75051879882812
445,motion-1,497.43634033203125,83.39844512939453
445,t-table,422.26043701171875,420.111083984375
445,motion-2,317.7313537597656,140.22299194335938
445,motion-3,132.2967529296875,195.51602172851562
416,motion-1,498.50616455078125,83.5003662109375
416,t-table,422.29339599609375,420.0728759765625
416,motion-2,317.8883972167969,140.25527954101562
416,motion-3,132.3573760986328,195.4454345703125
119,motion-1,504.48583984375,83.48819732666016
119,t-table,422.35333251953125,420.36962890625
119,motion-2,318.17291259765625,140.43295288085938
