2020-08-11_083456_980 0362,motion-1,276.7089,387.70947
2020-08-11_083456_980 2713,motion-1,276.44724,387.7876
2020-08-11_083456_980 1976,motion-1,276.38565,387.75443
2020-08-11_083456_980 0512,motion-1,276.53262,387.4061
2020-08-11_083456_980 0788,motion-1,276.78445,387.6739
2020-08-11_083456_980 1716,motion-1,276.51584,387.27646
2020-08-11_083456_980 0883,motion-1,276.09998,387.8335
2020-08-11_083456_980 3644,motion-1,276.73047,386.94388
2020-08-11_083456_980 1327,motion-1,276.26538,387.40305
2020-08-11_083456_980 0219,motion-1,276.82193,387.46765
2020-08-11_083456_980 2651,motion-1,276.66656,387.11218
2020-08-11_083456_980 2401,motion-1,276.0369,387.5089
2020-08-11_083456_980 3552,motion-1,276.37302,386.92288
2020-08-11_083456_980 2388,motion-1,276.41797,387.68884
2020-08-11_083456_980 2536,motion-1,277.0106,386.6146
2020-08-11_083456_980 3558,motion-1,276.34692,386.9039
2020-08-11_083456_980 2791,motion-1,276.28394,387.4683
2020-08-11_083456_980 1102,motion-1,276.53122,387.26157
2020-08-11_083456_980 2841,motion-1,276.16058,387.56863
2020-08-11_083456_980 0374,motion-1,276.69275,387.5301
2020-08-11_083456_980 2957,motion-1,277.13327,387.22507
2020-08-11_083456_980 0955,motion-1,276.36682,387.93417
2020-08-11_083456_980 0685,motion-1,276.39612,387.40405
2020-08-11_083456_980 2915,motion-1,276.54434,386.81934
2020-08-11_083456_980 1828,motion-1,276.11157,387.43195
2020-08-11_083456_980 3506,motion-1,276.44403,387.20755
2020-08-11_083456_980 1492,motion-1,276.1472,387.61667
2020-08-11_083456_980 1825,motion-1,276.35727,387.4193
2020-08-11_083456_980 1339,motion-1,276.29474,387.39627
2020-08-11_083456_980 0778,motion-1,276.57767,387.48135
2020-08-11_083456_980 2896,motion-1,275.86212,386.9347
2020-08-11_083456_980 1268,motion-1,276.2763,387.0689
2020-08-11_083456_980 0224,motion-1,276.04333,387.63022
2020-08-11_083456_980 2949,motion-1,277.10944,387.5086
2020-08-11_083456_980 1236,motion-1,276.03003,387.8482
2020-08-11_083456_980 0741,motion-1,276.3565,387.46582
2020-08-11_083456_980 3308,motion-1,276.6713,387.21622
2020-08-11_083456_980 1111,motion-1,276.59033,387.58453
2020-08-11_083456_980 1465,motion-1,276.2843,387.5473
2020-08-11_083456_980 2690,motion-1,277.05756,387.35986
2020-08-11_083456_980 0630,motion-1,276.11157,387.55127
2020-08-11_083456_980 1230,motion-1,275.97766,387.4083
2020-08-11_083456_980 3623,motion-1,276.3078,387.23145
2020-08-11_083456_980 0987,motion-1,276.1737,387.3443
2020-08-11_083456_980 2809,motion-1,276.19937,386.711
2020-08-11_083456_980 0756,motion-1,276.52866,387.79837
2020-08-11_083456_980 1792,motion-1,276.49738,387.67572
2020-08-11_083456_980 3510,motion-1,276.91342,386.928
2020-08-11_083456_980 1426,motion-1,276.48962,387.40683
2020-08-11_083456_980 3389,motion-1,276.44797,387.6249
2020-08-11_083456_980 0238,motion-1,276.56955,387.4098
2020-08-11_083456_980 1285,motion-1,276.26898,387.3543
2020-08-11_083456_980 0499,motion-1,276.6114,387.31076
2020-08-11_083456_980 2196,motion-1,276.5309,386.95676
2020-08-11_083456_980 3543,motion-1,276.53595,386.4942
2020-08-11_083456_980 1639,motion-1,276.5518,387.43536
2020-08-11_083456_980 3048,motion-1,276.71774,387.08054
2020-08-11_083456_980 1760,motion-1,276.67993,386.96643
2020-08-11_083456_980 2367,motion-1,276.62677,387.34872
2020-08-11_083456_980 1715,motion-1,276.91498,387.52234
2020-08-11_083456_980 2852,motion-1,276.30646,387.67355
2020-08-11_083456_980 0717,motion-1,276.61536,387.40652
2020-08-11_083456_980 2125,motion-1,276.4647,387.98694
2020-08-11_083456_980 0236,motion-1,276.26523,387.22525
2020-08-11_083456_980 2890,motion-1,276.3184,386.78165
2020-08-11_083456_980 1101,motion-1,276.8231,387.40167
2020-08-11_083456_980 1419,motion-1,276.5481,387.46573
2020-08-11_083456_980 2079,motion-1,276.79678,387.82593
2020-08-11_083456_980 0481,motion-1,276.28107,387.69693
2020-08-11_083456_980 3536,motion-1,276.71924,386.66504
2020-08-11_083456_980 3385,motion-1,276.30475,386.95892
2020-08-11_083456_980 2104,motion-1,276.87653,388.06018
2020-08-11_083456_980 2864,motion-1,276.83127,387.20883
2020-08-11_083456_980 2878,motion-1,276.3694,386.87314
2020-08-11_083456_980 2306,motion-1,276.7726,387.12994
2020-08-11_083456_980 1904,motion-1,276.1823,387.01413
2020-08-11_083456_980 1548,motion-1,276.85657,387.05267
2020-08-11_083456_980 3363,motion-1,276.8261,387.14133
2020-08-11_083456_980 2181,motion-1,277.08566,387.66345
2020-08-11_083456_980 3283,motion-1,276.5304,387.51248
2020-08-11_083456_980 2819,motion-1,275.8011,387.44135
2020-08-11_083456_980 1482,motion-1,276.11627,387.29358
2020-08-11_083456_980 1886,motion-1,276.50797,387.70547
2020-08-11_083456_980 0415,motion-1,276.1687,387.61694
2020-08-11_083456_980 1160,motion-1,275.94724,387.85886
2020-08-11_083456_980 2224,motion-1,276.8196,387.3428
2020-08-11_083456_980 0001,motion-1,276.3933,387.28696
2020-08-11_083456_980 3429,motion-1,276.90222,386.9067
2020-08-11_083456_980 2555,motion-1,277.4442,387.3831
2020-08-11_083456_980 0240,motion-1,275.90082,387.7315
2020-08-11_083456_980 1677,motion-1,276.06503,387.0606
2020-08-11_083456_980 3281,motion-1,276.4626,387.20398
2020-08-11_083456_980 0114,motion-1,276.13297,387.58224
2020-08-11_083456_980 2556,motion-1,277.0121,387.1479
2020-08-11_083456_980 3197,motion-1,276.20938,387.35287
2020-08-11_083456_980 1927,motion-1,276.34265,387.55502
2020-08-11_083456_980 1970,motion-1,276.35205,387.66333
2020-08-11_083456_980 1493,motion-1,276.361,387.08887
2020-08-11_083456_980 0624,motion-1,276.41592,387.49527
2020-08-11_083456_980 1208,motion-1,276.25757,387.54544
2020-08-11_083456_980 3096,motion-1,276.8883,387.00522
2020-08-11_083456_980 1491,motion-1,276.52158,387.21805
2020-08-11_083456_980 1757,motion-1,276.72595,387.53552
2020-08-11_083456_980 1232,motion-1,276.2936,387.37515
2020-08-11_083456_980 3296,motion-1,276.78033,386.8673
2020-08-11_083456_980 2045,motion-1,277.17426,388.48938
2020-08-11_083456_980 2423,motion-1,275.91095,388.24475
2020-08-11_083456_980 3468,motion-1,276.2062,387.50638
2020-08-11_083456_980 0510,motion-1,276.92297,387.54337
2020-08-11_083456_980 1665,motion-1,276.4139,387.32318
2020-08-11_083456_980 2111,motion-1,276.8137,387.9517
2020-08-11_083456_980 0145,motion-1,276.20987,387.38553
2020-08-11_083456_980 1183,motion-1,276.8182,387.12122
2020-08-11_083456_980 2279,motion-1,276.74802,387.18765
2020-08-11_083456_980 0498,motion-1,276.45157,387.26794
2020-08-11_083456_980 1950,motion-1,276.04562,387.49084
2020-08-11_083456_980 0597,motion-1,276.15335,387.245
2020-08-11_083456_980 3554,motion-1,276.4835,387.089
2020-08-11_083456_980 1188,motion-1,276.2955,387.10083
2020-08-11_083456_980 1718,motion-1,276.7048,387.13083
2020-08-11_083456_980 0993,motion-1,276.09445,387.6961
2020-08-11_083456_980 0777,motion-1,276.29825,387.50607
2020-08-11_083456_980 2280,motion-1,276.34735,387.29187
2020-08-11_083456_980 2648,motion-1,276.68524,387.4104
2020-08-11_083456_980 2114,motion-1,276.9494,387.63098
2020-08-11_083456_980 2858,motion-1,276.11377,387.1916
2020-08-11_083456_980 0586,motion-1,276.6155,388.12418
2020-08-11_083456_980 1945,motion-1,276.07422,387.33896
2020-08-11_083456_980 2622,motion-1,276.66135,386.7476
2020-08-11_083456_980 1556,motion-1,276.38046,387.68546
2020-08-11_083456_980 2608,motion-1,276.72192,387.7315
2020-08-11_083456_980 0086,motion-1,276.51343,387.22806
2020-08-11_083456_980 1872,motion-1,276.5464,387.51114
2020-08-11_083456_980 3597,motion-1,276.79388,386.55557
2020-08-11_083456_980 2327,motion-1,276.10382,388.02127
2020-08-11_083456_980 0912,motion-1,275.9301,387.97385
2020-08-11_083456_980 2780,motion-1,276.6716,387.1201
2020-08-11_083456_980 0439,motion-1,275.9792,387.48593
2020-08-11_083456_980 1785,motion-1,276.72372,387.15485
2020-08-11_083456_980 3054,motion-1,276.47778,386.91263
2020-08-11_083456_980 0411,motion-1,276.82693,387.26562
2020-08-11_083456_980 2141,motion-1,276.89078,387.49527
2020-08-11_083456_980 1577,motion-1,276.46014,387.69727
2020-08-11_083456_980 1248,motion-1,277.1552,387.23965
2020-08-11_083456_980 3617,motion-1,276.76303,387.02927
2020-08-11_083456_980 3476,motion-1,276.63324,387.0605
2020-08-11_083456_980 2398,motion-1,275.4728,387.8124
2020-08-11_083456_980 0903,motion-1,276.27222,387.759
2020-08-11_083456_980 0926,motion-1,276.2136,387.42996
2020-08-11_083456_980 0536,motion-1,276.3323,387.0546
2020-08-11_083456_980 3445,motion-1,276.3755,387.41086
2020-08-11_083456_980 0365,motion-1,276.91037,387.85413
2020-08-11_083456_980 0758,motion-1,276.491,387.9078
2020-08-11_083456_980 1204,motion-1,276.45895,387.6689
2020-08-11_083456_980 2909,motion-1,276.09088,386.9174
2020-08-11_083456_980 1243,motion-1,276.5192,387.60236
2020-08-11_083456_980 3178,motion-1,276.70462,387.54138
2020-08-11_083456_980 0259,motion-1,276.57465,387.37567
2020-08-11_083456_980 0584,motion-1,275.80817,387.70465
2020-08-11_083456_980 1120,motion-1,276.2581,387.2879
2020-08-11_083456_980 0065,motion-1,276.20975,387.5862
2020-08-11_083456_980 0354,motion-1,276.31046,387.69357
2020-08-11_083456_980 2512,motion-1,276.73773,387.35632
2020-08-11_083456_980 0302,motion-1,276.34067,387.5094
2020-08-11_083456_980 2178,motion-1,276.96088,387.9753
2020-08-11_083456_980 1084,motion-1,276.47946,387.31445
2020-08-11_083456_980 1121,motion-1,276.3616,386.7599
2020-08-11_083456_980 0449,motion-1,275.5044,387.93164
2020-08-11_083456_980 0687,motion-1,276.34805,388.09622
2020-08-11_083456_980 0155,motion-1,276.46738,387.91687
2020-08-11_083456_980 0676,motion-1,276.37427,387.8856
2020-08-11_083456_980 0018,motion-1,276.7457,386.9707
2020-08-11_083456_980 2902,motion-1,276.6882,386.96967
2020-08-11_083456_980 3311,motion-1,276.60986,386.865
2020-08-11_083456_980 3168,motion-1,276.25586,386.9884
2020-08-11_083456_980 1439,motion-1,276.14285,387.31223
2020-08-11_083456_980 2844,motion-1,276.41733,387.47897
2020-08-11_083456_980 0019,motion-1,276.3608,387.73145
2020-08-11_083456_980 2999,motion-1,276.57294,387.6102
2020-08-11_083456_980 0713,motion-1,276.51404,387.47458
2020-08-11_083456_980 1787,motion-1,276.83594,387.10962
2020-08-11_083456_980 3269,motion-1,276.38885,387.15546
2020-08-11_083456_980 2268,motion-1,276.35944,387.15207
2020-08-11_083456_980 2309,motion-1,276.37555,387.30032
2020-08-11_083456_980 1186,motion-1,276.06668,387.80206
2020-08-11_083456_980 1763,motion-1,277.14154,387.49982
2020-08-11_083456_980 1979,motion-1,276.40704,387.4213
2020-08-11_083456_980 2479,motion-1,276.9197,387.82837
2020-08-11_083456_980 1662,motion-1,276.60443,386.98227
